trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",20,0,-205.60607365383268,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.25}",20,0,-71.18340675023896,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",35,18,28.318815610782817,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.0625}",25,13,-18.91712420930243,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.7, 'e': 0.04}",25,8,25.141729732267653,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",20,14,-12.564294803111903,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",30,10,10.62454018966889,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.015625}",20,4,-24.820747867263506,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",20,10,13.740674702774122,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.01}",30,11,27.436653005125354,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",20,7,10.985440199909645,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",20,0,17.083640711659225,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.005917159763313609}",25,0,16.36289186687369,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",30,12,5.389866965126703,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",20,6,26.341508545382666,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.00390625}",25,12,22.792469763672162,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",35,23,22.455626837802008,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",25,15,18.056974352521728,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.002770083102493075}",35,21,26.79896636307177,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.0025}",25,12,20.010501281193388,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.0022675736961451248}",20,8,20.610151867834073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.002066115702479339}",20,0,7.601616667207118,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.001890359168241966}",25,17,15.356808195647488,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.001736111111111111}",25,8,32.795612653167474,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.0016}",20,6,26.37409206193109,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.7, 'e': 0.0014792899408284023}",20,14,9.748163520168482,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.0013717421124828531}",20,10,18.702201473733705,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.0012755102040816326}",30,15,24.53173737610757,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.0011890606420927466}",25,17,-6.567092921299553,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.0011111111111111111}",20,11,18.61037115408465,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.001040582726326743}",35,15,37.44489058455768,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.0009765625}",35,0,51.71891847626094,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.0009182736455463728}",20,1,6.730903551529956,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.0008650519031141869}",25,13,16.7426925803532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.0008163265306122449}",30,21,15.37377953750892,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.0007716049382716049}",20,8,9.993652761549217,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.0007304601899196494}",35,0,38.077154481701626,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.7, 'e': 0.0006925207756232687}",25,13,13.767979500672084,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.0006574621959237344}",20,7,-0.6733115765820405,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.000625}",25,13,16.988687227757257,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.000594883997620464}",25,7,24.68502021175828,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.0005668934240362812}",20,7,20.476779631047688,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.0005408328826392645}",25,0,14.49408914085549,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.0005165289256198347}",25,10,26.957645227680004,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.0004938271604938272}",25,9,22.422758219783002,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.0004725897920604915}",30,24,11.406152610280119,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.0004526935264825713}",20,8,17.55301658637655,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.00043402777777777775}",20,0,24.4413013301473,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.7, 'e': 0.00041649312786339027}",20,0,25.543552362525354,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.0004}",20,16,8.552692380591376,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.00038446751249519417}",20,13,11.421879250203776,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.0003698224852071006}",25,11,26.93172552001283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.000355998576005696}",20,3,26.22441485399634,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.0003429355281207133}",20,0,31.176294803391542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.00033057851239669424}",30,0,36.64706247573586,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.7, 'e': 0.00031887755102040814}",30,9,40.151198071891855,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.0003077870113881194}",20,10,16.824621931252743,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.00029726516052318666}",25,0,33.9032760689931,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.7, 'e': 0.0002872737719046251}",25,7,25.001385059104496,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.0002777777777777778}",30,0,28.179487106933177,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.7, 'e': 0.0002687449610319806}",20,0,33.674705728846945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.7, 'e': 0.00026014568158168577}",30,17,19.702926584662908,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.0002519526329050139}",25,3,37.56821805509681,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.000244140625}",25,8,29.44131290481343,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.00023668639053254438}",25,13,-5.685216970256995,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.0002295684113865932}",25,0,30.346715539668352,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.7, 'e': 0.00022276676319893073}",20,0,26.890613665813003,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.7, 'e': 0.00021626297577854672}",25,18,13.396793707068738,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.00021003990758244065}",20,13,10.112165702168609,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
