trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.592443757067635,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.76958136570614,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.41619752054515,"{0: 17, 1: 0, 2: 10, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.83674728288497,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.65500664171137,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.18277884106027,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.14990374982474,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.6218267017332,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.886243579985795,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-224.36856490752064,"{0: 20, 1: 1, 2: 8, 3: 4, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.5762753975708,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.7452081904376,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.52018476751124,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,1,-61.011657884511514,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.43926265631924,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.5201502607945,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.78064740555681,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.1627840995033,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-233.5149571550033,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.8817485479329,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.75100273676625,"{0: 7, 1: 3, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.62057878435704,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-106.88514500240922,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-230.12467965540918,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.53995278722822,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-186.15831372638036,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.0845763382434,"{0: 15, 1: 3, 2: 1, 3: 4, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-269.0809972640042,"{0: 7, 1: 4, 2: 2, 3: 2, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-190.9637979905882,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.48029808181607,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
